name,weight
acquire license for selling tobacco products,169
identify education needs,168
information confidentiality,168
marketing principles,167
conduct field work,167
apply change management,167
coordinate government activities in foreign institutions,167
apply diplomatic principles,166
follow safety procedures when working at heights,165
education administration,165
analyse economic trends,165
apply immigration law,164
monitor nuclear power plant systems,163
analyse supply chain strategies,163
protect client interests,163
energy efficiency,162
foreign affairs policy development,162
develop software prototype,162
"""support childrens wellbeing""",162
coordinate educational programmes,161
contribute to continuity of health care,161
real estate market,161
insourcing strategy,161
apply knowledge of human behaviour,161
"""assess employees capability levels""",160
nuclear physics,160
manage standard enterprise resource planning system,160
remove inadequate workpieces,159
banking activities,159
manage project metrics,159
evaluate education programmes,159
legal requirements of ICT products,159
use food preparation techniques,159
deal with emergency care situations,158
apply company policies,158
process payments,158
biology,158
act reliably,158
develop creative ideas,158
outsourcing strategy,158
communicate with shipment forwarders,157
advise on risk management,157
XQuery,156
analyse business processes,155
market pricing,155
review construction projects,154
audit techniques,154
manage financial risk,154
assess supplier risks,153
use cooking techniques,153
record production data for quality control,153
promote education programmes,153
develop a collaborative therapeutic relationship,153
business intelligence,153
MDX,153
ensure compliance with safety legislation,153
SPARQL,152
advise on efficiency improvements,152
hygienic and secure working environment,152
promote education course,152
carry out active selling,152
manage contract disputes,151
respond to changing situations in health care,151
maintain a safe,151
maintain relationships with stakeholders,151
apply for government funding,151
urban planning,151
negotiate supplier arrangements,150
support the positiveness of youths,150
manage government-funded programmes,150
prospect new customers,149
handle carriers,149
organise product display,149
N1QL,149
zoning codes,149
ICT project management methodologies,149
monitor packaging operations,149
apply health sciences,148
operate scientific measuring equipment,148
resolve equipment malfunctions,148
follow the statutory obligations,148
international trade,148
shape organisational teams based on competencies,148
LDAP,147
content marketing strategy,147
write scientific papers,147
follow production schedule,146
report defective manufacturing materials,146
use e-health and mobile health technologies,146
"""advise on healthcare users informed consent""",145
LINQ,145
look after trade delegations,144
Lean project management,144
risk management,144
answer requests for quotation,144
identify necessary human resources,144
keep records of attendance,143
handover the food preparation area,143
plan inspections for prevention of sanitation violations,143
advertising techniques,143
CAE software,143
supervise work,143
Process-based management,143
advise on building matters,143
perform machine maintenance,142
business analysis,142
use reheating techniques,142
plan menus,142
develop architectural plans,142
work in textile manufacturing teams,142
analyse a script,142
translate requirement concepts into visual design,142
data models,141
human resource management,141
financial analysis,141
crowdsourcing strategy,141
follow hygienic procedures during food processing,141
