name,weight
apply wood finishes,28
ensure correct gas pressure,28
survive at sea in the event of ship abandonment,28
apply arc welding techniques,28
sports competition information,28
parts pricing,28
maintain parts inventory,28
optical glass characteristics,28
establish draft annual schedules for vessels,28
manual draughting techniques,28
keep track of expenses,28
outdoor activities,28
apply massage therapy,28
instrumentation engineering,28
promote health in specialised care,28
lay pipe installation,28
manage quality of leather throughout the production process,28
align software with system architectures,28
read books,28
wear cleanroom suit,28
use photographic equipment,28
adapt a script,28
calculate utility payments,28
dyeing technology,28
health and safety in the textile industry,28
perform internal investigations,28
advise on strengthening security,28
develop film,28
set up photographic equipment,28
manage legal personal issues,28
tell a story,28
airport operating environment,28
identify terrorism threats,28
mitigate waste of resources,28
manage environmental management system,28
SketchBook Pro,28
applied zoology,28
present exhibition,28
arrange equipment repairs,28
types of pulp,28
control temperature,28
psychological interventions,28
interpret psychological tests,28
analyse the artistic concept based on stage actions,28
present during live broadcasts,28
set up equipment in a timely manner,28
interpret electrical diagrams,28
carry out nurse-led discharge,28
initiate life preserving measures,28
provide information,28
electronic and telecommunication equipment,28
devise military tactics,28
ensure ongoing compliance with regulations,28
perform manual work autonomously,28
promote facilities management services,28
construction products,28
operate cash point,28
pharmaceutical products,28
operate surveying instruments,27
transmission towers,27
political campaigning,27
use different types of fire extinguishers,27
respond to burglar alarm systems,27
inform on interest rates,27
plan supply chain logistics for footwear and leather goods,27
advise on mental health,27
manage payroll,27
government social security programmes,27
genetics,27
manufacturing of tools,27
manage online content,27
motivate in sports,27
blood collection on babies,27
interpret hematological test results,27
conduct musical ensembles,27
manage several projects,27
security regulations,27
training  subject expertise,27
promote gender equality in business contexts,27
transportation methods,27
vessel safety equipment,27
Nexpose,27
watch scenes,27
connect music fragments,27
load products for dispatch,27
select subject matter,27
CAM software,27
microsensors,27
musical instruments materials,27
assemble musical instrument parts,27
language teaching methods,27
physico-chemical properties of hides and skins,27
ICT networking hardware,27
demonstrate professional attitude to clients,27
consumer electronics,27
repair pipelines,27
create advertisements,27
perform media outlets research,27
follow airport safety procedures,27
archive documentation related to the work,27
monitor work site,27
forest ecology,27
livestock species,27
perform flight manoeuvres,27
implement airside safety procedures,27
conduct inter-shift communication,27
advise on teaching methods,27
provide assistance to a variety of airport users,27
detain offenders,27
treat animals ethically,27
"""make decisions regarding the animals welfare""",27
behavioural therapy,27
provide an enriching environment for animals,27
set up equipment for food production,27
computer equipment,27
Microsoft Visio,27
select camera apertures,27
politics,27
manage tender processes,27
ensure aquaculture personnel health and safety,27
"""manufacturers recommended price""",27
adjust ICT system capacity,27
inspect material,27
take artistic vision into account,27
manage production systems,27
communicate in specialised nursing care,27
evaluation in specialised nursing care,27
operate in a specific field of nursing care,27
organise staff assessment,27
perform customer management,27
comply with the principles of self-defence,27
work with video and motion picture production team,27
psychological theories,27
Motivate patiens,27
weigh materials,27
clean rooms,27
assess power needs,27
"""monitor patients progress related to treatment""",27
develop audit plan,27
pre-stitching processes and techniques for footwear and leather goods,27
optical engineering,27
manage digital archives,26
digitise documents,26
ensure information security,26
organise relapse prevention,26
manage artistic career,26
develop visual elements,26
create artwork,26
test raw minerals,26
design scientific equipment,26
provide documentation,26
operate electronic measuring instruments,26
provide specialised instruction for special needs students,26
edit scripts,26
sensors,26
electronic test procedures,26
create musical instrument parts,26
promote inclusion in organisations,26
printing materials,26
counsel students,26
advise architects,26
assemble electronic units,26
teach public speaking principles,26
inspect underground power cables,26
create GIS reports,26
pharmaceutical technology,26
review development process of an organisation,26
apply ICT system usage policies,26
inspect contracts for related grounds maintenance work,26
monitor loan portfolio,26
support ICT system users,26
create digital images,26
provide information on solar panels,26
types of electronics,26
process customer requests based on the REACh Regulation 1907 2006,26
assemble manufactured pipeline parts,26
hydraulic fluid,26
manufacturing of daily use goods,26
protect surfaces during construction work,26
supervise the management of an establishment,26
ensure compliance with warranty contracts,26
food materials,26
heating,26
check bottles for packaging,26
conduct mobile marketing,26
install mining machinery,26
mechanical mine machinery manuals,26
gather information to substitute parts,26
carry out shipping orders for parts,26
set up effective working relationships with other sports players,26
plan nursing care in a specialised field,26
implement improvement procedures in airport operations,26
"""assess animals condition""",26
schedule recreation facilities,26
manage work,26
laboratory-based sciences,26
handle delivery of furniture goods,26
organic building materials,26
task algorithmisation,26
analyse supply chain trends,26
assess contamination,26
trendwatching,26
radiation physics in healthcare,26
monitor therapeutic progress,26
monitor operations in the leather industry,26
"""balance participants personal needs with group needs""",26
manage clinical risk,26
media planning,26
aerodynamics,26
ensure safety in international aviation,26
agricultural production principles,26
horticulture principles,26
perform military operations,26
camouflage,26
ensure compliance with civil aviation regulations,26
visual flight rules,26
address aircraft mechanical issues,26
diagnose defective engines,26
teach reading strategies,25
defense system,25
position engine on test stand,25
recommend cosmetics to customers,25
operate agricultural machinery,25
make improvements to work activities,25
perform take off and landing,25
make numerical calculations,25
keep machines oiled for steady functioning,25
debt classification,25
identify parts requested by customers,25
interview bank loanees,25
test procedures,25
fill moulds,25
operate pumps,25
CADD software,25
local area tourism industry,25
resolve difficult account allocation cases,25
acting techniques,25
statistical analysis system software,25
dietetics,25
water policies,25
museum databases,25
art collections,25
manage troop deployment,25
carry out interviews to select artistic team members,25
plan art educational activities,25
clinical reports,25
use data processing techniques,25
types of optical instruments,25
assist children with homework,25
pose questions referring to documents,25
maintain control systems for automated equipment,25
perform first fire intervention,25
design automation components,25
develop strategies for electricity contingencies,25
microoptics,25
tuning techniques,25
use jewellery equipment,25
propose improvements to artistic production,25
provide feedback to teachers,25
follow work procedures,25
keep up with the latest information systems solutions,25
personnel management,25
operate sumps,25
provide software testing documentation,25
design lighting,25
electric motors,25
write headlines,25
manipulate plastic,25
building construction principles,25
business knowledge,25
advise on tax policy,25
write captions,25
human resources department processes,25
ensure refrigeration of food in the supply chain,25
inspect overhead power lines,25
check processing parameters,25
cut textiles,25
challenging issues in the textile industry,25
create thematic maps,25
watches and jewellery products,25
adjust production schedule,25
hazardous waste types,25
communicate production plan,25
utilise decision support system,25
implement ICT risk management,25
fish varieties,25
hardware components suppliers,25
work on the effects of abuse,25
organise parts storage,25
leather chemistry,25
advise customers on seafood choices,25
illegal substances,25
collaborate with animal related professionals,25
administer specific drugs to facilitate breeding,25
maintain working relationships,25
engrave patterns,25
perform environmental investigations,25
conduct detailed evaluation of quality standards,25
ensure parts packaging,25
contribute to the advancements in specialised nursing care,25
coach individuals in specialised nursing care,25
specialist nursing care,25
use session border controller,25
write dialogues,24
write storylines,24
inspect electrical supplies,24
diagnose problems with vehicles,24
perform fundraising activities,24
record court procedures,24
assist animal birth,24
supply chain principles,24
railway framework legislation,24
operate 3D computer graphics software,24
nonwoven machine technology,24
tutor students,24
perform live,24
be in touch with your body,24
sing,24
music literature,24
develop plans related to the transfer of care,24
contribute to the rehabilitation process,24
advise customers on usage of cosmetics,24
reverse engineering,24
fertilisation principles,24
harvest crop,24
civil aviation regulations,24
perform search and rescue missions,24
check material rescources,24
deal with challenging work conditions,24
administer treatment to animals,24
perform therapy sessions,24
IBM Informix,24
natural gas,24
biomedical techniques,24
manufacturing of steel drums and similar containers,24
establish communication with foreign cultures,24
public health,24
JSSS,24
provide information on wind turbines,24
maintain water treatment equipment,24
establish site security routines,24
surveying,24
precious metals,24
provide assistance to lecturer,24
prepare sandwiches,24
verify product specifications,24
support a designer in the developing process,24
assemble performance equipment,24
store performance equipment,24
communication disorders,24
teach secondary education class content,24
make film shooting schedule,24
maintain mine machinery,24
new vehicles on the market,24
check vehicle parts on delivery,24
investigate security issues,24
work in a logistics team,24
prepare airport emergency plans,24
animal production science,24
human psychological development,24
adapt efficient food processing practices,24
monitor fish mortality rates,24
textile finishing technology,24
monitor disposal of radioactive substances,24
biomechanics,24
health records management,24
prepare colour mixtures,24
interpret geometric dimensions and tolerances,24
respect publication formats,24
handle personal identifiable information,24
respond to nuclear emergencies,24
select photographic equipment,24
monitor political conflicts,23
sell tickets,23
telecommunication industry,23
manage outsourced security,23
operate private branch exchange,23
create infrared imagery,23
test photographic equipment,23
enforce railway safety regulations,23
apply digital mapping,23
deal with aggressive behaviour,23
sell products,23
read scripts,23
follow time cues,23
manage volunteers,23
search for a suitable location,23
use gardening equipment,23
instrument performance elements,23
automotive engineering,23
maintenance of printing machines,23
public offering,23
ensure compliance with disclosure criteria of accounting information,23
"""record healthcare users billing information""",23
estimate costs of installing telecommunication devices,23
work in metal manufacture teams,23
stain wood,23
secure heavy construction equipment,23
park vehicles,23
business valuation techniques,23
cope with blood,23
concurrent estate,23
ensure health and safety in manufacturing,23
geography,23
work independently as an artist,23
types of packaging materials,23
optimise financial performance,23
instrumentation equipment,23
unmoor vessels,23
distinguish various types of ships,23
decorate musical instruments,23
replicate customer software issues,23
LESS,23
inform on government funding,23
adhere to health well-being and safety,23
draft press releases,23
clean glass surfaces,23
stealth technology,23
use CADD software,23
cosmetics industry,23
advise on soil and water protection,23
prepare planting area,23
maintain technical equipment,23
undertake procedures to meet aircraft flight requirements,23
write production reports,23
manage air navigation services,23
prepare audit activities,23
repair engines,23
fermentation processes of food,23
identify the factors causing changes in food during storage,23
sharpen edged tools,23
oversee stock quality control,23
manage customer service,23
livestock reproduction,23
fermentation processes of beverages,23
manage securities,23
electric drives,23
analyse big data,23
industrial design,23
medicines,23
liaise with book publishers,23
knitting machine technology,23
test physical properties of textiles,23
ICT quality policy,23
employ cognitive behaviour treatment techniques,23
conduct workplace audits,23
telecommunication trunking,23
apply radiation protection procedures,23
test hardware,23
geometry,23
implement airport emergency plans,23
surgery,23
communicate in foreign languages with health service providers,23
care for juvenile animals,23
advise customers on appropriate pet care,23
assess customers,23
develop animations,23
provide multimedia content,23
cultural history,23
engraving technologies,23
screen live fish deformities,23
clean jewellery pieces,23
ensure conformance to jewel design specifications,23
sell vehicle parts,23
pipeline transport regulations;,23
design strategies for nuclear emergencies,23
investigate pollution,23
textile chemistry,23
monitor equipment,23
motor vehicle parts drawings,22
assess groundwater environmental impact,22
liaise with property owners,22
analyse claim files,22
collect financial data,22
develop plans related to client discharge,22
perform physical stress tests on models,22
maintain agricultural machinery,22
prepare planting area for planting,22
coordinate rescue missions,22
rivet types,22
write emergency instructions for handling of dangerous goods,22
repair wiring,22
supervise practical courses,22
apply 3D imaging techniques,22
render 3D images,22
3D lighting,22
printing on large scale machines,22
accept feedback on artistic performance,22
undertake healthcare examination,22
"""obtain healthcare users medical status information""",22
monitor staff absences,22
establish waste collection routes,22
mobile operating systems,22
manage ICT virtualisation machines,22
provide ICT system training,22
direct photographic workers,22
use ICT recources to solve work related tasks,22
hazardous waste treatment,22
"""assess healthcare users risk for harm""",22
perform lectures,22
integrate content into output media,22
adjust manufacturing equipment,22
apply pre-stitching techniques,22
interpret artistic intentions,22
office administration,22
teach corporate skills,22
verify feasibility,22
strategies for handling cases of elder abuse,22
learning technologies,22
moor vessels,22
vessel stability principles,22
sell fish and seafood,22
maintain medical devices,22
inform customers on energy consumption fees,22
prepare sales checks,22
cut glass,22
adjust priorities,22
crane load charts,22
surveying methods,22
help to control passenger behaviour during emergency situations,22
teach business principles,22
develop material testing procedures,22
think proactively,22
ICT system programming,22
develop jewellery designs,22
ensure cleanliness of food preparation area,22
instruct employees on radiation protection,22
educate public on fire safety,22
"""analyse suppliers information on vehicle parts""",22
identify music with commercial potential,22
heat metals,22
"""work with healthcare users social network""",22
provide animal training,22
exercise patience,22
dispose of dead animals,22
create sketches,22
adapt to new design materials,22
design electromechanical systems,22
carry out fish disease prevention measures,22
preserve fish samples for diagnosis,22
design objects to be crafted,22
prepare shipments in time,22
apply assembling techniques for cemented footwear construction,22
apply preservation treatments,22
beverage products,22
manage ICT data classification,22
write database documentation,22
CA Datacom/DB,22
Oracle Relational Database,22
work in conveyor belts in food manufacturing,22
monitor chemical process condition,22
preserve fish products,22
personalise sports programme,22
prospect new regional contracts,22
software components suppliers,22
election law,22
diagnose mental disorders,22
leather technology,22
physico-chemical properties of crust leather,22
test sensors,22
compile content,22
documentation types,22
identify plants characteristics,22
examine mortgage loan documents,22
visual disability,22
hearing disability,22
select scripts,22
microassembly,22
electromagnetism,22
precision measuring instruments,22
restore musical instruments,22
signal processing,22
mobility disability,21
adapt energy distribution schedules,21
history of musical instruments,21
implement front-end website design,21
determine suitability of materials,21
types of pensions,21
apply acupuncture,21
administrative tasks in a medical environment,21
inspect facility sites,21
conduct research before survey,21
inspect tax returns,21
inform on renting agreements,21
contribute to quality physiotherapy services,21
formulate a treatment plan,21
develop assembly instructions,21
irrigation systems,21
agronomical production principles,21
plant harvest methods,21
grow plants,21
optimise production,21
collect geological data,21
basic chemicals,21
maintain concentration for long periods,21
perform aircraft maintenance,21
test circuitry,21
warehouse operations,21
manage cleaning activities,21
debt collection techniques,21
dance,21
create database diagrams,21
maritime transportation technology,21
national regulations on handling cargo,21
international regulations for cargo handling,21
give advice on the matching of food with wine,21
machinery products,21
test pipeline infrastructure operations,21
maintain adequate medication storage conditions,21
embedded systems,21
clinical psychological treatment,21
types of paint,21
use artistic materials for drawing,21
"""encourage healthcare users self-monitoring""",21
supervise a script,21
de-rig electronic equipment,21
pack electronic equipment,21
monitor ICT research,21
teach languages,21
facilitate the psychological development of the healthcare user,21
advise customers on jewellery and watches,21
clothing and footwear products,21
hardware testing methods,21
hardware materials,21
design power plant systems,21
cope with challenging circumstances in the veterinary sector,21
animal species,21
manage portfolio,21
meet contract specifications,21
conduct research on fauna,21
conserve natural resources,21
fish welfare regulations,21
communicate using the global maritime distress and safety system,21
use water navigation devices,21
perform water treatments,21
recognise signs of wood rot,21
install circuit breakers,21
operate excavator,21
ensure vehicles are equipped with accessibility equipment,21
provide information to passengers,21
assist disabled passengers,21
manage business knowledge,21
maintain kitchen equipment at correct temperature,21
process collected survey data,21
perform surveying calculations,21
industrial software,21
forecast workload,21
use weaving machine technologies,21
textile industry,21
tools for ICT test automation,21
types of sawing blades,21
create banking accounts,21
snap chalk line,21
use squaring pole,21
clean mixer,21
first response,21
educate people about nature,21
monitor textile manufacturing developments,21
market entry planning,21
stimulate creativity in the team,21
operate kneading of food products,20
operate mixing of food products,20
manage kiln ventilation,20
operate pumping equipment,20
measure density of liquids,20
SQL Server,20
ObjectStore,20
OpenEdge Database,20
MySQL,20
Filemaker (database management systems),20
develop pharmaceutical drugs,20
coating substances,20
assess quality characteristics of food products,20
select mould types,20
textile techniques,20
check quality of products in textile production line,20
share good practices across subsidiaries,20
operate automated process control,20
emergent technologies,20
computer science,20
rehearse role,20
therapeutic massage,20
pipeline coating properties,20
psychiatric disorders,20
develop electricity distribution schedule,20
electromagnetic spectrum,20
meet productivity targets,20
ICT system integration,20
maintain logbooks,20
film studies,20
use ICT ticketing system,20
manage standards for data exchange,20
develop data processing applications,20
build recommender systems,20
operate life-saving appliances,20
CSS,20
produce prepress proof,20
flower and plant products,20
types of insulation material,20
inspect insulation,20
design microelectronics,20
design circuit boards,20
regulate the flow of substances in pipelines,20
consider the impact of material characteristics on pipeline flows,20
interpret geophysical data,20
negotiate with property owners,20
compose real estate contract,20
coordinate fire fighting,20
wildlife,20
manage creative department,20
maintain storage facilities,20
manage production enterprise,20
give battle commands,20
operate handheld riveting equipment,20
issue licences,20
use ICT systems,20
prepare transportation routes,20
build scaffolding,20
machinery load capacity,20
recognise the hazards of dangerous goods,20
animal anatomy for food production,20
metrology,20
supervise camera crew,20
fabric types,20
manoeuvre heavy trucks,20
perfume and cosmetic products,20
inorganic chemistry,20
develop new food products,20
ensure information privacy,20
ICT recovery techniques,20
carry out social work research,20
use electronic health records management system,20
"""answer patients questions""",20
apply caseload management,20
local geography,20
create AutoCAD drawings,20
Prevent sea pollution,20
dairy and edible oil products,20
computer technology,20
advise on nature conservation,20
monitor construction site,20
water reuse,20
plan teamwork,20
collect data using GPS,20
personal directing styles,20
bring out performers’ artistic potential,20
characteristics of precious metals,20
negotiate loan agreements,20
developmental psychology,20
types of audiovisual formats,20
consult with stakeholders on implementation of a production,20
ensure continuous preparedness for audits,20
assist in clinical trials,20
identify process improvements,20
hire background musicians,20
optical equipment standards,20
optical manufacturing process,20
plan event marketing for promotional campaigns,20
perform security checks,20
explosives,20
infection control,20
measure pH,20
motion graphics,20
clean furniture,20
analyse stress resistance of materials,20
advise on equipment maintenance,20
"""understand the animals situation""",19
anaesthetics,19
work with veterinarians,19
create moving images,19
study cultures,19
furniture industry,19
implement efficiency plans for logistics operations,19
control fish diseases,19
environmental management monitors,19
adjust jewellery,19
calculate benefits,19
post-process of fish,19
prepare surveying report,19
negotiate artistic productions,19
supervise accounting operations,19
idenfify if a company is a going concern,19
inform on fiscal duties,19
perform improvisation,19
"""follow-up on healthcare users treatment""",19
phytotherapy,19
transcription methods,19
determine image composition,19
apply foreign languages in tourism,19
pharmacy law,19
manage changes in ICT system,19
technical terminology,19
select adequate ingredients,19
select adequate packaging for food products,19
create new recipes,19
educate customers on coffee varieties,19
execute opening and closing procedures,19
skin types,19
select livestock,19
operate farm equipment,19
carry out repair of vehicles,19
Microsoft Access,19
PostgreSQL,19
DB2,19
analytical methods in biomedical sciences,19
select filler metal,19
perform detailed food processing operations,19
use tools for construction and repair,19
work independently in service of a food production process,19
maintain moulds,19
use digital illustration techniques,19
tend boring machine,19
welding techniques,19
set production facilities standards,19
work with the camera crew,19
operate relational database management system,19
home decoration techniques,19
operate ship rescue machinery,19
plan digital marketing,19
calculate exposure to radiation,19
food safety standards,19
develop ICT test suite,19
printing media,19
textile products,19
electrical household appliances products,19
perform follow-up on pipeline route services,19
negotiate exploitation rights,19
assess railway operations,19
manage recycling program budget,19
MOEM,19
test electromechanical systems,19
make electrical calculations,19
supervise electricity distribution operations,19
apply spot welding techniques,19
personal development,19
create jewellery,19
history of literature,19
design plant waste procedures,19
child protection,19
obstetrics and gynaecology,19
tobacco products,19
provide testimony in court hearings,19
rail infrastructure,19
operate hydraulic pumps,19
provide advice on breaches of regulation,19
leather finishing technologies,19
ensure consistency of published articles,19
office equipment,19
project commissioning,19
communication studies,19
composition of diets,19
apply spray foam insulation,19
manage resources,19
use rigging tools,19
types of containers,19
provide learning support in healthcare,19
advocate health,19
establish relationship with the media,19
cope with challenging demands,19
oversee assembly operations,19
prepare compliance documents,19
analyse scientific data,19
propagate plants,19
manage livestock,19
create a flight plan,19
characteristics of chemicals used for tanning,19
evaluate training,19
manage human resources,19
maintain counterweight inside modes of transport,19
geostationary satellites,19
maintain food specifications,19
operate heavy construction machinery without supervision,19
focus on passengers,19
marketing department processes,19
satisfy customers,19
sanding techniques,19
coach clients,19
keep up-to-date with regulations,19
communicate with external laboratories,19
develop radiation protection strategies,19
communicate reports provided by passengers,19
operate railway communication systems,19
water chemistry analysis,19
assess danger in risk areas,19
effective perception of transport environment,19
assemble an artistic team,19
art-historical values,19
identify cross-curricular links with other subject areas,19
use painting techniques,19
repair equipment on site,19
automatic cutting systems for footwear and leather goods,19
apply machine cutting techniques for footwear and leather goods,19
prepare construction documents,18
respect cultural differences in the field of exhibition,18
handle art,18
create new concepts,18
search databases,18
monitor pulp quality,18
develop an artistic framework,18
study artistic techniques,18
perform demarcation,18
composite materials,18
manufacturing of jewellery,18
astronomy,18
prepare ready-made dishes,18
perform technical tasks with great care,18
waste removal regulations,18
install automation components,18
execute vehicle maintenance,18
pharmaceutical industry,18
maintain pipeline coating properties,18
inform customers of activity changes,18
use textile finishing machine technologies,18
construct individual learning plans,18
maintain statutory books,18
perform government ceremonies,18
alloys of precious metals,18
keep up with innovations in food manufacturing,18
sell furniture,18
conduct ICT code review,18
utilise machine learning,18
conduct fish mortality studies,18
work in a fishery team,18
security requirements of goods transported via pipelines,18
identify policy breach,18
occupational physiology,18
document safety actions,18
select gems for jewellery,18
organise property viewing,18
create cooperation modalities,18
manage claim files,18
develop sports programmes,18
assembling processes and techniques for cemented footwear construction,18
perform laboratory tests on footwear or leather goods,18
supplier management,18
develop training programmes,18
maintain recycling records,18
coordinate purchasing activities,18
coordinate import transportation activities,18
manage import export licenses,18
encourage teams for continuous improvement,18
maintain vessel engine room,18
publishing strategy,18
Sass,18
textile semi-finished products and raw materials,18
labour law,18
Windows Phone,18
support gifted students,18
monitor temperature in farinaceous processes,18
prepare bakery products,18
survey techniques,18
adjust voltage,18
manage recreational facility,18
manage the health and welfare of livestock,18
support social service users to manage their financial affairs,18
pathogenic microorganisms in food,18
Teradata Database,18
take care of personal appearance,18
biomedical science,18
epidemiology,18
organic chemistry,18
forging processes,18
origin of dietary fats and oils,18
clean moulds,18
apply cross-reference tools for product identification,18
manufacture braided products,18
plan new packaging designs,18
dye wood,18
splice cable,18
document management,18
process livestock organs,18
manage flammable substances,18
call quality assurance management,18
work with the lighting crew,18
process reservations,18
construct moulds,18
manufacture knitted textiles,18
paint surfaces,18
metal drawing processes,18
revise quality control systems documentation,18
train staff in quality procedures,18
work as a team in a hazardous environment,18
ventilation systems,18
provide directions to guests,18
micromechanics,18
apply colouring recipes correctly,18
test leather chemistry,18
household products,18
coordinate electricity generation,18
protect employee rights,18
calibrate mechatronic instruments,18
optical components,18
test optical components,18
develop agricultural policies,18
inspect machinery,18
install pneumatic systems,18
organic farming,18
plant propagation,18
execute fertilisation,18
collect samples,18
provide department schedule for staff,18
respond to changing navigation circumstances,18
provide information on the effects of physiotherapy,17
prescribe healthcare products,17
measure effectiveness of the service provided,17
maintain physiotherapy equipment,17
media studies,17
spa products,17
research improvement of crop yields,17
advise on irrigation projects,17
determine production capacity,17
communicate health and safety measures,17
install hydraulic systems,17
soil science,17
meteorology,17
use manual sewing techniques,17
comprehensively inspect aircraft,17
tourism market,17
install heating,17
pharmacokinetics,17
pharmacognosy,17
communicate with beneficiaries,17
Android (mobile operating systems),17
assess informational needs,17
select illustration styles,17
create 2D painting,17
manufacture nonwoven staple products,17
tend packaging machines,17
provide information on education financing,17
manage the general ledger,17
observe healthcare users,17
collection management,17
evaluate art quality,17
adhere to transportation work schedule,17
relaxation techniques,17
sell services,17
ensure safety of exhibition,17
formulate a case conceptualisation model for therapy,17
evaluate cultural venue programmes,17
contamination exposure regulations,17
assess waste type,17
handle paperwork,17
geophysics,17
operate audio equipment,17
maintain audiovisual equipment,17
measure software usability,17
select photos,17
nuclear legislation,17
analyse transportation costs,17
update budget,17
watch video and motion picture production products,17
plan artistic production activities,17
estimate needs of artistic production,17
help set rehearsal schedule,17
create data sets,17
use access control software,17
european classification of inland waterways,17
radioactive contamination,17
lubricate engines,17
application usability,17
develop digital educational materials,17
assist with personal administration issues,17
liaise with transportation companies,17
provide information on geothermal heat pumps,17
adapt to different weather conditions,17
components of air conditioning systems,17
refrigerants,17
model electromechanical systems,17
design customised maps,17
legal requirements related to ammunition,17
resuscitation,17
emergency surgery,17
intensive care medicine,17
"""interview animal owners on animals conditions""",17
calculate rates per hours,17
manage food manufacturing laboratory,17
philosophy,17
woodturning,17
sell household goods,17
carry out inventory planning,17
analyse logistic changes,17
conduct research on flora,17
maintain diving equipment,17
communicate on minerals issues,17
mount stones in jewels,17
select metals for jewellery,17
prepare inventory of properties,17
operate marine machinery systems,17
manage ship emergency plans,17
operate ship propulsion system,17
analyse packaging requirements,17
lead process optimisation,17
footwear finishing techniques,17
manufacture non-woven filament products,17
use thermal management,17
test medical devices,17
calibrate precision instrument,17
refractive power,17
contribute to the safeguarding of children,17
monitor regulations in social services,17
apply systemic therapy,17
manage lost and found articles,17
oversee guest laundry service,17
marker making,17
promote healthy lifestyle,17
design engineering components,17
mill operations,17
work in an organised manner,17
milling machines,17
replace sawing blade on machine,17
promote financial products,17
water pressure,17
clean components during assembly,17
apply footwear bottoms pre-assembling techniques,17
design database backup specifications,17
games rules,17
packaging engineering,17
use moulding techniques,17
fishing gear,17
check methods,17
control crowd,17
install heating boiler,17
rewrite manuscripts,17
use weft preparation technologies,17
braiding technology,17
mix construction grouts,17
maintain drilling equipment,17
hardware,17
plumbing and heating equipment products,17
construction equipment related to building materials,17
tolerate sitting for long periods,17
tend to passenger belongings,17
communicate clearly with passengers,17
ICT sales methodologies,17
organise projects to fill education needs,17
continuous improvement philosophies,17
rewrite articles,17
handle knives for meat processing activities,17
monitor work for special events,17
distribute local information materials,17
maintain mould parts,17
furniture,17
use traditional illustration techniques,17
safely handle metal wire under tension,17
corrosion types,17
transfer chemicals,17
operate fire extinguishers,17
microsystem test procedures,17
digital camera sensors,17
manage electricity transmission system,17
promote employment policy,17
analyse unemployment rates,17
development delays,16
assemble electromechanical systems,16
assemble mechatronic units,16
use diagnostic tools for electronic repairs,16
estimate value of musical instruments,16
assess nature of injury in emergency,16
assess animal nutrition,16
represent national interests,16
replace die,16
serve beverages,16
"""monitor patients vital signs""",16
take advantage of learning opportunities in veterinary science,16
advise on animal purchase,16
create original drawings,16
metal coating technologies,16
supervise work on design planning,16
develop aquaculture strategies,16
provide on-site training in aquaculture facilities,16
develop management plans to reduce risks in aquaculture,16
operate small craft,16
conduct water navigation,16
keep time accurately,16
prepare for small craft operation,16
have a high level of safety awareness,16
carry out training in environmental matters,16
create 3D characters,16
create animated narratives,16
maintenance and repair,16
provide information on school services,16
speak in public,16
study roles from scripts,16
work with an artistic team,16
teach basic numeracy skills,16
develop strategic plans for physiotherapy services,16
advise on public image,16
provide advice to farmers,16
gather data,16
agricultural raw materials,16
seeds and animal feed products,16
Code of Conduct for Responsible Fisheries,16
store crops,16
manage agricultural staff,16
monitor fields,16
supervise laboratory operations,16
coordinate patrols,16
operate drill press,16
act as contact person during equipment incident,16
bolt engine parts,16
upholstery tools,16
smooth glass surface,16
waste transport legislation,16
purchase raw material supplies,16
pharmacotherapy,16
manage medical supply chains,16
check information on prescriptions,16
ensure the appropriate supply in pharmacy,16
sporting equipment usage,16
BlackBerry,16
draw up lighting plan,16
prepare detailed working drawings for interior design,16
examine crime scenes,16
prepare credit reports,16
verify formal ICT specifications,16
ensure vessel security,16
read stowage plans,16
perform water testing procedures,16
provide in-home support for disabled individuals,16
blend beverages,16
fruit and vegetable products,16
crustacean and mollusc products,16
serve food in table service,16
"""plan customers sales visits""",16
cut insulation material to size,16
operate control systems,16
develop work plans to solve problems,16
execute administration,16
develop classification systems,16
defend human rights,16
train military troops,16
advise superiors on military operations,16
monitor military equipment use,16
homeopathy,16
define artistic vision,16
supervise craft production,16
cognitive behavioural therapy,16
ensure safety of exercise environment,16
asphalt mixes,16
heat jewellery metals,16
review closing procedures,16
adhere to standard procedures,16
check system parameters against reference values,16
develop mechatronic test procedures,16
vehicle electrical systems,16
use specialised tools in electric repairs,16
maintain electrical engines,16
select auxiliary equipment for photographic work,16
shunt outbound loads,16
shunt inbound loads,16
types of pottery material,16
inspect government expenditures,16
maintain inventory of cleaning supplies,16
perform pest control,16
follow directions of on-site director,16
work in cold environments,16
answer incoming calls,16
develop online sales business plan,16
carpet and lighting equipment products,16
geodesy,16
correctional procedures,16
legal standards in gambling,16
tend lathe,16
manage publicly traded companies,16
apply first response,16
lead technology development of an organisation,16
manage government funding,16
"""evaluate social work programs impact""",16
draw sketches to develop textile articles,16
food dehydration processes,16
journalism,16
contribute to public health campaigns,16
counsel healthcare users on medicines,16
identify customer objectives,16
plan allocation of space,16
electrical wire accessories,16
receive kitchen supplies,16
store kitchen supplies,16
communicate on the environmental impact of mining,16
repair jewellery,16
decide on insurance applications,16
supervise property development projects,16
manage pension funds,16
leather physical testing,16
ship related legislative requirements,16
footwear bottoms pre-assembly,16
apply procedures to ensure cargo complies with customs regulations,16
prepare freight shipment reports,16
create artificial light,16
literary techniques,16
tend spinning machines,16
work in a rail transport team,16
micromechatronic engineering,16
psychiatric diagnostics,16
staple spinning machine technology,16
operate optical assembly equipment,16
apply flame handling regulations,16
ensure correct use of bakery equipment,16
take food and beverage orders from customers,16
clean building floors,16
collect items for laundry service,16
assist police investigations,16
advise on social security benefits,16
